"Code";"Name";"Product types";"Year";"Value";"Measurement unit";"Attribute";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2016";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2017";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2018";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"bread 1kg";"2019";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"1999";;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2000";1,86;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2001";2,15;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2002";2,27;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2003";1,86;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2004";2,16;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2005";1,90;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2006";1,99;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2007";2,32;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2008";2,72;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2009";2,72;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2010";2,66;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2011";3,13;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2012";3,45;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2013";3,71;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2014";3,64;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2015";3,48;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2016";3,67;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2017";3,75;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2018";4,04;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"plain mixed bread (wheat-rye) - per 1kg";"2019";4,24;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"mąka pszenna "Poznańska", workowana - za 1kg";"1999";0,00;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2000";1,09;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2001";0,96;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2002";0,84;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2003";0,82;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2004";0,91;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2005";0,67;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2006";0,81;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2007";1,07;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2008";1,20;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2009";0,92;"PLN";"";
0400000;"KUYAVIA-POMERANIA";"mąka pszenna "Poznańska", workowana - za 1kg";"2010";0,00;"PLN";"";
